date_utc,asset,close,daily_return,ma_20,ma_50,vol_30d,trend_signal,asset_class,vol_30d_rank,vol_30d_pct
2022-03-31,EURUSD,1.116183519363403,0.006339906610299373,1.1004692614078522,1.1183616185188294,0.006169852758320559,0.0,fx,3.0,0.6666666666666666
2022-04-01,EURUSD,1.1072357892990112,-0.008016361027705421,1.1004968285560608,1.117878828048706,0.006316328168211931,0.0,fx,3.0,0.6666666666666666
2022-04-04,EURUSD,1.1047282218933103,-0.0022647094954258984,1.1013605892658234,1.1172904539108277,0.006288243971726969,0.0,fx,3.0,0.6666666666666666
2022-04-05,EURUSD,1.0975863933563232,-0.006464783279227948,1.1019133448600769,1.1165939211845397,0.006373007428029027,-1.0,fx,3.0,0.6666666666666666
2022-04-06,EURUSD,1.090643286705017,-0.006325795120395661,1.101954346895218,1.1157976984977722,0.0064245861047455485,-1.0,fx,3.0,0.6666666666666666
2022-04-07,EURUSD,1.0898232460021973,-0.0007518871777932867,1.101076364517212,1.1151070928573608,0.006423273884522995,-1.0,fx,3.0,0.6666666666666666
2022-04-08,EURUSD,1.0864840745925903,-0.0030639568589273525,1.1003308475017548,1.114542715549469,0.006208512917780021,-1.0,fx,3.0,0.6666666666666666
2022-04-11,EURUSD,1.0884946584701538,0.0018505415077689769,1.1000952422618866,1.1140078592300415,0.006229793649057145,-1.0,fx,3.0,0.6666666666666666
2022-04-12,EURUSD,1.087795972824097,-0.000641882475600597,1.0997690737247467,1.1133044862747192,0.0061843344647338604,-1.0,fx,3.0,0.6666666666666666
2022-04-13,EURUSD,1.0826143026351929,-0.004763457779174862,1.0990529716014863,1.1124088597297668,0.00610800256653381,-1.0,fx,3.0,0.6666666666666666
2022-04-14,EURUSD,1.089656949043274,0.006505222026846003,1.0984260439872742,1.1116021060943604,0.0062526653795894945,-1.0,fx,3.0,0.6666666666666666
2022-04-15,EURUSD,1.0820988416671753,-0.006936226472684548,1.097033393383026,1.110372564792633,0.006327959104436968,-1.0,fx,3.0,0.6666666666666666
2022-04-18,EURUSD,1.081525444984436,-0.000529893075068677,1.0958939909934997,1.109092779159546,0.005491879276407436,-1.0,fx,3.0,0.6666666666666666
2022-04-19,EURUSD,1.0781787633895874,-0.0030944085600286275,1.0947168290615081,1.1077704405784607,0.005516735522326391,-1.0,fx,3.0,0.6666666666666666
2022-04-20,EURUSD,1.0794472694396973,0.0011765266514078832,1.0935405135154723,1.1065168619155883,0.005489136221148174,-1.0,fx,4.0,0.5
2022-04-21,EURUSD,1.0849870443344116,0.005132047716967181,1.092758333683014,1.105373558998108,0.004660232312417395,-1.0,fx,4.0,0.5
2022-04-22,EURUSD,1.0835175514221191,-0.00135438752007766,1.09188631772995,1.1042128586769104,0.004576145015124943,-1.0,fx,4.0,0.5
2022-04-25,EURUSD,1.0811045169830322,-0.002227037703191659,1.091032087802887,1.1031048345565795,0.00440085677967423,-1.0,fx,4.0,0.5
2022-04-26,EURUSD,1.0714209079742432,-0.00895714415828408,1.0896339178085328,1.1019205832481385,0.004662106981829458,-1.0,fx,4.0,0.5
2022-04-27,EURUSD,1.0643619298934937,-0.006588426666132574,1.0873944342136384,1.1004942297935485,0.00474470970921112,-1.0,fx,4.0,0.5
2022-04-28,EURUSD,1.0555092096328735,-0.008317396565946322,1.0843607187271118,1.098853874206543,0.004796786239983289,-1.0,fx,4.0,0.5
2022-04-29,EURUSD,1.050420165061951,-0.004821411811927856,1.0815199375152589,1.0971293210983277,0.004557577741599249,-1.0,fx,4.0,0.5
2022-05-02,EURUSD,1.0535964965820312,0.0030238676157678945,1.0789633512496948,1.0955668306350708,0.0045980348637065255,-1.0,fx,4.0,0.5
2022-05-03,EURUSD,1.0509058237075806,-0.002553798236022531,1.0766293227672576,1.093965630531311,0.004599418658776786,-1.0,fx,4.0,0.5
2022-05-04,EURUSD,1.052853226661682,0.0018530708557984443,1.074739819765091,1.0923644280433655,0.00461576019263342,-1.0,fx,4.0,0.5
2022-05-05,EURUSD,1.0622477531433103,0.008922921299691522,1.0733610451221467,1.0909979939460754,0.004992707337055162,-1.0,fx,4.0,0.5
2022-05-06,EURUSD,1.0539740324020386,-0.007788880434709267,1.071735543012619,1.0896960949897767,0.005127196875152386,-1.0,fx,4.0,0.5
2022-05-09,EURUSD,1.053219199180603,-0.0007161781962646829,1.0699717700481415,1.0883983707427978,0.005124710356201657,-1.0,fx,4.0,0.5
2022-05-10,EURUSD,1.056579828262329,0.0031908163887828245,1.068410962820053,1.0870981311798096,0.005173771943055453,-1.0,fx,4.0,0.5
2022-05-11,EURUSD,1.0532968044281006,-0.003107217974838483,1.0669450879096984,1.0858985495567322,0.004809412177374308,-1.0,fx,4.0,0.5
2022-05-12,EURUSD,1.05124831199646,-0.0019448387415861301,1.0650246560573577,1.0846988248825074,0.004562797532474256,-1.0,fx,4.0,0.5
2022-05-13,EURUSD,1.0379581451416016,-0.012642271766999169,1.0628176212310791,1.0833242988586427,0.004843173697162244,-1.0,fx,4.0,0.5
2022-05-16,EURUSD,1.0400632619857788,0.0020281326891944396,1.0607445120811463,1.0823765039443969,0.004902418074052384,-1.0,fx,4.0,0.5
2022-05-17,EURUSD,1.0438958406448364,0.0036849476364928524,1.0590303659439086,1.0815237951278687,0.004933578346473094,-1.0,fx,4.0,0.5
2022-05-18,EURUSD,1.0547856092453003,0.010431853616484466,1.0577972829341888,1.0808230423927307,0.005320428573055621,-1.0,fx,4.0,0.5
2022-05-19,EURUSD,1.0472739934921265,-0.007121462112616772,1.0559116303920746,1.079620864391327,0.00543198054370167,-1.0,fx,4.0,0.5
2022-05-20,EURUSD,1.057898759841919,0.010145163935909807,1.0546306908130645,1.0787509512901305,0.005807475223355457,0.0,fx,4.0,0.5
2022-05-23,EURUSD,1.056981921195984,-0.0008666601008888719,1.053424561023712,1.0780264544487,0.005784693705853026,0.0,fx,4.0,0.5
2022-05-24,EURUSD,1.0682048797607422,0.010617928594331305,1.0532637596130372,1.077504165172577,0.006159371149706659,0.0,fx,4.0,0.5
2022-05-25,EURUSD,1.0736525058746338,0.005099795195760315,1.0537282884120942,1.0770384883880615,0.006191923098438776,0.0,fx,4.0,0.5
2022-05-26,EURUSD,1.0686614513397217,-0.004648668454274474,1.0543859004974365,1.0763678073883056,0.006106062133315735,0.0,fx,4.0,0.5
2022-05-27,EURUSD,1.0732953548431396,0.004336175406728371,1.055529659986496,1.0756346774101258,0.006051222809652472,0.0,fx,4.0,0.5
2022-05-30,EURUSD,1.073145627975464,-0.00013950201778101246,1.0565071165561677,1.0750113201141358,0.00605103005774256,0.0,fx,4.0,0.5
2022-05-31,EURUSD,1.0773539543151855,0.00392148673024062,1.0578295230865478,1.074523959159851,0.0060725080453460315,0.0,fx,4.0,0.5
2022-06-01,EURUSD,1.0734105110168457,-0.0036603042876901526,1.0588573873043061,1.0739326977729797,0.006104110273708775,0.0,fx,4.0,0.5
2022-06-02,EURUSD,1.0654165744781494,-0.0074472314707665355,1.059015828371048,1.0732284164428711,0.006159220283032088,0.0,fx,4.0,0.5
2022-06-03,EURUSD,1.0751069784164429,0.0090954131655403,1.060072475671768,1.072711398601532,0.0064049810225374326,0.0,fx,4.0,0.5
2022-06-06,EURUSD,1.0726046562194824,-0.0023275099568660362,1.0610417485237122,1.0721997094154359,0.006406082073979634,0.0,fx,4.0,0.5
2022-06-07,EURUSD,1.0691413879394531,-0.0032288394982695756,1.0616698265075684,1.0715948510169984,0.006220063987930018,0.0,fx,4.0,0.5
2022-06-08,EURUSD,1.0698620080947876,0.00067401764019559,1.0624980866909026,1.0708090591430663,0.006097017865918659,0.0,fx,4.0,0.5
2022-06-09,EURUSD,1.071765422821045,0.001779121710889564,1.0635239422321319,1.0699206972122193,0.005886252629556176,0.0,fx,4.0,0.5
2022-06-10,EURUSD,1.0619205236434937,-0.009185684635764857,1.0647220611572266,1.0690143918991089,0.006073915771917664,-1.0,fx,4.0,0.5
2022-06-13,EURUSD,1.0489987134933472,-0.012168340155825574,1.065168833732605,1.0678998017311097,0.0064665838400435,-1.0,fx,3.0,0.6666666666666666
2022-06-14,EURUSD,1.0415147542953491,-0.007134383580962855,1.0650497794151306,1.0667783689498902,0.0065789959501860295,-1.0,fx,3.0,0.6666666666666666
2022-06-15,EURUSD,1.0440592765808103,0.002443097685334905,1.0645134627819062,1.065846688747406,0.00658646477646711,-1.0,fx,3.0,0.6666666666666666
2022-06-16,EURUSD,1.0456204414367676,0.0014952837362547378,1.0644307851791381,1.0649626326560975,0.006365318898142845,-1.0,fx,3.0,0.6666666666666666
2022-06-17,EURUSD,1.0546854734420776,0.008669524471857093,1.064270120859146,1.0643266606330872,0.006424970292303213,-1.0,fx,4.0,0.5
